Gene description	Gene name
killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]	KIR2DS1
KIR3DL3 killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3 (KIR3DL3) pseudogene	
natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	NCR1
killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3 (KIR2DS3) pseudogene	
killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]	KIR2DL5A
U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	U6
long intergenic non-protein coding RNA 1839 [Source:HGNC Symbol;Acc:HGNC:41330]	LINC01839
long intergenic non-protein coding RNA 2054 [Source:HGNC Symbol;Acc:HGNC:52894]	LINC02054
coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]	CCDC92
killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]	KIR3DS1
adipose differentiation-related protein (ADFP) pseudogene	
immunoglobulin superfamily, DCC subclass, member 3 (IGDCC3) pseudogene	
novel transcript, antisense to DNAH10	
gem nuclear organelle associated protein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49561]	GEMIN2P1
killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2 (KIR3DL2) pseudogene	
GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]	GATAD2B
killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3 (KIR2DL3) pseudogene	
olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]	OR9G4
olfactory receptor family 5 subfamily G member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15287]	OR5G3
olfactory receptor family 9 subfamily G member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15321]	OR9G3P
olfactory receptor family 5 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8344]	OR5G1P
solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	SLC27A3
olfactory receptor family 5 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:15288]	OR5G4P
olfactory receptor family 5 subfamily G member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15289]	OR5G5P
RNA, 5.8S ribosomal N5 [Source:HGNC Symbol;Acc:HGNC:53533]	RNA5-8SN5
olfactory receptor family 9 subfamily G member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15320]	OR9G2P
olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]	OR9G1
GNAS complex locus (GNAS) pseudogene	
olfactory receptor family 9 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:31940]	OR9G9
long intergenic non-protein coding RNA 2735 [Source:HGNC Symbol;Acc:HGNC:54252]	LINC02735
long intergenic non-protein coding RNA 254 [Source:HGNC Symbol;Acc:HGNC:14160]	LINC00254
heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]	HS3ST6
meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]	MEIOB
long intergenic non-protein coding RNA 2124 [Source:HGNC Symbol;Acc:HGNC:52981]	LINC02124
zinc finger protein 43 [Source:HGNC Symbol;Acc:HGNC:13109]	ZNF43
metadherin (MTDH) pseudogene	
zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]	ZNF100
gem (nuclear organelle) associated protein 2 (GEMIN2) pseudogene	
cyclin Y like 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:54657]	CCNYL6
novel zinc finger protein pseudogene	
Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
BRI3 binding protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51482]	BRI3BPP1
Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	Metazoa_SRP
keratin associated protein 9-9 [Source:NCBI gene (formerly Entrezgene);Acc:81870]	KRTAP9-9
vomeronasal 1 receptor 84 pseudogene [Source:HGNC Symbol;Acc:HGNC:37404]	VN1R84P
metadherin pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:52360]	MTDHP4
keratin associated protein 9-2 [Source:HGNC Symbol;Acc:HGNC:16926]	KRTAP9-2
keratin associated protein 9-4 [Source:HGNC Symbol;Acc:HGNC:18902]	KRTAP9-4
keratin associated protein 9-3 [Source:HGNC Symbol;Acc:HGNC:16927]	KRTAP9-3
keratin associated protein 9-10, pseudogene [Source:HGNC Symbol;Acc:HGNC:34210]	KRTAP9-10P
novel keratin associated protein 9 family member	
novel keratin associated protein 9 family pseudogene	
keratin associated like protein 29-1 [Source:HGNC Symbol;Acc:HGNC:34211]	KRTAP29-1
keratin associated protein 9-6 [Source:HGNC Symbol;Acc:HGNC:18914]	KRTAP9-6
keratin associated protein 9-7 [Source:HGNC Symbol;Acc:HGNC:18915]	KRTAP9-7
keratin associated protein 9-12, pseudogene [Source:HGNC Symbol;Acc:HGNC:48873]	KRTAP9-12P
keratin associated protein 9-11, pseudogene [Source:HGNC Symbol;Acc:HGNC:18918]	KRTAP9-11P
killer cell immunoglobulin-like receptor, two domains, pseudogene	
keratin associated protein 9-9 [Source:HGNC Symbol;Acc:HGNC:16773]	KRTAP9-9
keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	KRT20
keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778]	KRTAP3-1
keratin associated protein 3-2 [Source:HGNC Symbol;Acc:HGNC:16779]	KRTAP3-2
keratin associated protein 4-9 [Source:HGNC Symbol;Acc:HGNC:18910]	KRTAP4-9
keratin associated protein 2-4 [Source:HGNC Symbol;Acc:HGNC:18891]	KRTAP2-4
novel transcript, antisense to KRT12	
keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]	KRT23
piwi like RNA-mediated gene silencing 1 [Source:HGNC Symbol;Acc:HGNC:9007]	PIWIL1
syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]	SNTG2
formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	FTCD
thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]	TPO
inosine monophosphate dehydrogenase 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:33960]	IMPDH1P5
discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]	DLG5
novel pseudogene	
keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707]	KRT40
FTCD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40243]	FTCD-AS1
lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	LSS
acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]	ADI1
keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]	KRTAP1-1
trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]	TRAPPC12
novel keratin associated protein 2 family member	
keratin associated protein 4-11 [Source:HGNC Symbol;Acc:HGNC:18911]	KRTAP4-11
keratin associated protein 2-5, pseudogene [Source:HGNC Symbol;Acc:HGNC:18920]	KRTAP2-5P
keratin associated protein 1-3 [Source:HGNC Symbol;Acc:HGNC:16771]	KRTAP1-3
keratin associated protein 4-16 [Source:HGNC Symbol;Acc:HGNC:18921]	KRTAP4-16
keratin 12 [Source:HGNC Symbol;Acc:HGNC:6414]	KRT12
keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	KRTAP1-5
novel transcript sense intronic to TRAPPC12	
novel transcript, antisense to ADI1	
keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]	KRT39
keratin associated protein 3-4, pseudogene [Source:HGNC Symbol;Acc:HGNC:18919]	KRTAP3-4P
keratin associated protein 2-1 [Source:HGNC Symbol;Acc:HGNC:16775]	KRTAP2-1
keratin associated protein 3-3 [Source:HGNC Symbol;Acc:HGNC:18890]	KRTAP3-3
keratin associated protein 2-3 [Source:HGNC Symbol;Acc:HGNC:18906]	KRTAP2-3
keratin associated protein 4-12 [Source:HGNC Symbol;Acc:HGNC:16776]	KRTAP4-12
keratin associated protein 1-4 [Source:HGNC Symbol;Acc:HGNC:18904]	KRTAP1-4
novel keratin associated protein 4 family member	
keratin associated protein 4-8 [Source:NCBI gene (formerly Entrezgene);Acc:728224]	KRTAP4-8
FSHD region gene 2 family pseudogene	
melanoregulin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50749]	MREGP1
general transcription factor IIi (GTF2I) pseudogene	
ovostatin 2	
ankyrin repeat domain 18D, pseudogene [Source:HGNC Symbol;Acc:HGNC:28016]	ANKRD18DP
spermatogenesis and centriole associated 1 like [Source:HGNC Symbol;Acc:HGNC:1298]	SPATC1L
novel protein identical to killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3	
family with sequence similarity 157, member A	
septin 14 (SEPT14) pseudogene	
family with sequence similarity 166, member A (FAM166A) pseudogene	
capicua homolog (Drosophila) (CIC) pseudogene	
tubulin, beta 8 (TUBB8) pseudogene	
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4) pseudogene	
RNA, U6 small nuclear 821, pseudogene [Source:HGNC Symbol;Acc:HGNC:47784]	RNU6-821P
SIN3-HDAC complex associated factor [Source:HGNC Symbol;Acc:HGNC:30702]	SINHCAF
DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]	DHX36
ribosomal protein L13a (RPL13A) pseudogene	
solute carrier family 25, member 13 (citrin) (SLC25A13) pseudogene	
uncharacterized LOC79857 [Source:NCBI gene (formerly Entrezgene);Acc:79857]	FLJ13224
Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]	ARHGEF26
DSEL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55325]	DSEL-AS1
dermatan sulfate epimerase like [Source:HGNC Symbol;Acc:HGNC:18144]	DSEL
novel transcript, antisense to DSEL	
adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]	AP2A2
TEC	
novel transcript, antisense to CTDP1	
granule associated Rac and RHOG effector 1 [Source:HGNC Symbol;Acc:HGNC:29016]	GARRE1
CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]	CTDP1
LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]	LSM14A
DLG5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45109]	DLG5-AS1
novel transcript, antisense to DLG5	
ARHGEF26 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41048]	ARHGEF26-AS1
RNA, 7SL, cytoplasmic 284, pseudogene [Source:HGNC Symbol;Acc:HGNC:46300]	RN7SL284P
RNA, U6 small nuclear 1266, pseudogene [Source:HGNC Symbol;Acc:HGNC:48229]	RNU6-1266P
killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:NCBI gene (formerly Entrezgene);Acc:3809]	KIR2DS4
mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]	MUC6
proline rich protein BstNI subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9337]	PRB1
ribosomal protein L29 (RPL29) pseudogene	
RNA, U6 small nuclear 1025, pseudogene [Source:HGNC Symbol;Acc:HGNC:47988]	RNU6-1025P
strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	SBNO2
zinc finger protein 965, pseudogene [Source:HGNC Symbol;Acc:HGNC:42025]	ZNF965P
GXYLT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39676]	GXYLT1P1
cytochrome P450 family 4 subfamily F member 34, pseudogene [Source:HGNC Symbol;Acc:HGNC:39953]	CYP4F34P
calponin 2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39834]	CNN2P12
sorting nexin 18 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:39634]	SNX18P26
long intergenic non-protein coding RNA 328-2, pseudogene [Source:HGNC Symbol;Acc:HGNC:42027]	LINC00328-2P
ankyrin repeat domain 20 family member A9, pseudogene [Source:HGNC Symbol;Acc:HGNC:42023]	ANKRD20A9P
RNA, U6 small nuclear 55, pseudogene [Source:HGNC Symbol;Acc:HGNC:42545]	RNU6-55P
cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	CRIM1
SDS3 homolog, SIN3A corepressor complex component pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44000]	SUDS3P1
ribosomal protein L21 pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:36128]	RPL21P36
PROP paired-like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9455]	PROP1
CRIM1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54057]	CRIM1-DT
novel transcript, antisense to PROP1	
SEPTIN9 divergent transcript [Source:HGNC Symbol;Acc:HGNC:52818]	SEPTIN9-DT
THO complex 3 (THOC3) pseudogene	
septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]	SEPTIN9
leukocyte immunoglobulin-like receptor pseudogene 2 [Source:NCBI gene (formerly Entrezgene);Acc:79166]	LILRP2
killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4 (KIR2DS4) pseudogene	
glypican 5 (GPC5) pseudogene	
ABCB10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:14114]	ABCB10P1
golgin A8 family member D, pseudogene [Source:HGNC Symbol;Acc:HGNC:32376]	GOLGA8DP
APOBEC3B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43836]	APOBEC3B-AS1
novel pseudogene similar to apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A APOBEC3A	
apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]	APOBEC3A
tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600]	TUBGCP5
solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472]	SLC45A2
novel zinc finger pseudogene	
keratin 18 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:33409]	KRT18P40
keratin associated protein 5-6 [Source:HGNC Symbol;Acc:HGNC:23600]	KRTAP5-6
zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]	ZNF430
keratin associated protein 5-1 [Source:HGNC Symbol;Acc:HGNC:23596]	KRTAP5-1
relaxin family peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:24883]	RXFP3
keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599]	KRTAP5-4
golgin A6 family like 1 [Source:HGNC Symbol;Acc:HGNC:37444]	GOLGA6L1
ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]	ADAMTS12
keratin associated protein 5-5 [Source:HGNC Symbol;Acc:HGNC:23601]	KRTAP5-5
family with sequence similarity 99 member A [Source:HGNC Symbol;Acc:HGNC:32368]	FAM99A
keratin associated protein 5-2 [Source:HGNC Symbol;Acc:HGNC:23597]	KRTAP5-2
M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) (MPHOSPH10) pseudogene	
long intergenic non-protein coding RNA 2708 [Source:HGNC Symbol;Acc:HGNC:54225]	LINC02708
2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	DECR2
engulfment and cell motility 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38008]	ELMO2P1
KRTAP5-1/KRTAP5-2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27877]	KRTAP5-AS1
zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]	ZNF85
family with sequence similarity 99 member B [Source:HGNC Symbol;Acc:HGNC:32369]	FAM99B
dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]	DUSP8
abhydrolase domain containing 17A (ABHD17A) pseudogene	
family with sequence similarity 208, member A (FAM208A) pseudogene	
keratin associated protein 5-3 [Source:HGNC Symbol;Acc:HGNC:23598]	KRTAP5-3
pseudogene similar to rat RGD1563782 protein	
interferon induced transmembrane protein 10 [Source:HGNC Symbol;Acc:HGNC:40022]	IFITM10
long intergenic non-protein coding RNA 1659 [Source:HGNC Symbol;Acc:HGNC:52447]	LINC01659
ZDHHC8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26461]	ZDHHC8P1
long intergenic non-protein coding RNA 2549 [Source:HGNC Symbol;Acc:HGNC:53584]	LINC02549
ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]	ABCB11
BCL2 interacting protein 3 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:49704]	BNIP3P24
carboxylesterase 5A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38516]	CES5AP1
heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) (HNRNPD) pseudogene	
zinc finger protein 66 [Source:HGNC Symbol;Acc:HGNC:13135]	ZNF66
G protein subunit gamma 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4409]	GNG5P1
cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	CYFIP1
glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]	G6PC2
RNA, U6 small nuclear 222, pseudogene [Source:HGNC Symbol;Acc:HGNC:47185]	RNU6-222P
MAD1 mitotic arrest deficient-like 1 (yeast)(MAD1L1) pseudogene	
family with sequence similarity 230 member I [Source:HGNC Symbol;Acc:HGNC:52446]	FAM230I
long intergenic non-protein coding RNA 2557 [Source:HGNC Symbol;Acc:HGNC:53596]	LINC02557
arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]	AADACL2
SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]	SPC25
KCNQ2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40321]	KCNQ2-AS1
long intergenic non-protein coding RNA 2066 [Source:HGNC Symbol;Acc:HGNC:52911]	LINC02066
AADACL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50301]	AADACL2-AS1
potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]	KCNQ2
phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	GART
patched domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24776]	PTCHD3
SLC25A51 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23325]	SLC25A51P1
ADH5 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:21377]	ADH5P4
RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	RAB11FIP3
nitric oxide synthase trafficking [Source:HGNC Symbol;Acc:HGNC:20203]	NOSTRIN
pseudogene similar to part of breast cancer antigen NY-BR-1 (NY-BR-1)	
outer dynein arm docking complex subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44937]	ODAD2P1
family with sequence similarity 210 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:44938]	FAM210CP
TP53 regulated inhibitor of apoptosis 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31659]	TRIAP1P1
glucuronidase, beta (GUSB) pseudogene	
NLR family, apoptosis inhibitory protein pseudogene	
