SYMBOL	DESCRIPTION
LILRP2	Leukocyte immunoglobulin-like receptor pseudogene 2
INTS3	Integrator complex subunit 3
KIR2DL4	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
KIR3DL1	Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
KIR2DL1	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
KIR3DP1	Killer cell immunoglobulin like receptor, three Ig domains pseudogene 1
KIR2DL3	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
FCAR	Fc fragment of IgA receptor
KIR3DL2	Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
LILRP1	Leukocyte immunoglobulin-like receptor pseudogene 1
PPIAL4F	Peptidylprolyl isomerase A like 4F
KIR2DS5	Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5
U1	U1 spliceosomal RNA
RNVU1-26	RNA, variant U1 small nuclear 26
KIR2DP1	Killer cell immunoglobulin like receptor, two Ig domains pseudogene 1
RNVU1-2A	RNA, variant U1 small nuclear 2A
KIR2DS2	Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
KIR2DL5B	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B
KIR2DS3	Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3
DNAH10	Dynein axonemal heavy chain 10
KIR2DS1	Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1
NCR1	Natural cytotoxicity triggering receptor 1
KIR2DL5A	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
U6	U6 spliceosomal RNA
LINC01839	Long intergenic non-protein coding RNA 1839
LINC02054	Long intergenic non-protein coding RNA 2054
CCDC92	Coiled-coil domain containing 92
KIR3DS1	Killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1
GEMIN2P1	Gem nuclear organelle associated protein 2 pseudogene 1
GATAD2B	GATA zinc finger domain containing 2B
OR9G4	Olfactory receptor family 9 subfamily G member 4
OR5G3	Olfactory receptor family 5 subfamily G member 3 (gene/pseudogene)
OR9G3P	Olfactory receptor family 9 subfamily G member 3 pseudogene
OR5G1P	Olfactory receptor family 5 subfamily G member 1 pseudogene
SLC27A3	Solute carrier family 27 member 3
OR5G4P	Olfactory receptor family 5 subfamily G member 4 pseudogene
OR5G5P	Olfactory receptor family 5 subfamily G member 5 pseudogene
RNA5-8SN5	RNA, 5.8S ribosomal N5
OR9G2P	Olfactory receptor family 9 subfamily G member 2 pseudogene
OR9G1	Olfactory receptor family 9 subfamily G member 1
OR9G9	Olfactory receptor family 9 subfamily G member 9
LINC02735	Long intergenic non-protein coding RNA 2735
LINC00254	Long intergenic non-protein coding RNA 254
HS3ST6	Heparan sulfate-glucosamine 3-sulfotransferase 6
MEIOB	Meiosis specific with OB-fold
LINC02124	Long intergenic non-protein coding RNA 2124
ZNF43	Zinc finger protein 43
ZNF100	Zinc finger protein 100
CCNYL6	Cyclin Y like 6 (pseudogene)
Y_RNA	Y RNA
BRI3BPP1	BRI3 binding protein pseudogene 1
Metazoa_SRP	Metazoan signal recognition particle RNA
KRTAP9-9	Keratin associated protein 9-9
VN1R84P	Vomeronasal 1 receptor 84 pseudogene
MTDHP4	Metadherin pseudogene 4
KRTAP9-2	Keratin associated protein 9-2
KRTAP9-4	Keratin associated protein 9-4
KRTAP9-3	Keratin associated protein 9-3
KRTAP9-10P	Keratin associated protein 9-10, pseudogene
KRTAP29-1	Keratin associated like protein 29-1
KRTAP9-6	Keratin associated protein 9-6
KRTAP9-7	Keratin associated protein 9-7
KRTAP9-12P	Keratin associated protein 9-12, pseudogene
KRTAP9-11P	Keratin associated protein 9-11, pseudogene
KRTAP9-9	Keratin associated protein 9-9
KRT20	Keratin 20
KRTAP3-1	Keratin associated protein 3-1
KRTAP3-2	Keratin associated protein 3-2
KRTAP4-9	Keratin associated protein 4-9
KRTAP2-4	Keratin associated protein 2-4
KRT23	Keratin 23
PIWIL1	Piwi like RNA-mediated gene silencing 1
SNTG2	Syntrophin gamma 2
FTCD	Formimidoyltransferase cyclodeaminase
TPO	Thyroid peroxidase
IMPDH1P5	Inosine monophosphate dehydrogenase 1 pseudogene 5
DLG5	Discs large MAGUK scaffold protein 5
KRT40	Keratin 40
FTCD-AS1	FTCD antisense RNA 1
LSS	Lanosterol synthase
ADI1	Acireductone dioxygenase 1
KRTAP1-1	Keratin associated protein 1-1
TRAPPC12	Trafficking protein particle complex subunit 12
KRTAP4-11	Keratin associated protein 4-11
KRTAP2-5P	Keratin associated protein 2-5, pseudogene
KRTAP1-3	Keratin associated protein 1-3
KRTAP4-16	Keratin associated protein 4-16
KRT12	Keratin 12
KRTAP1-5	Keratin associated protein 1-5
KRT39	Keratin 39
KRTAP3-4P	Keratin associated protein 3-4, pseudogene
KRTAP2-1	Keratin associated protein 2-1
KRTAP3-3	Keratin associated protein 3-3
KRTAP2-3	Keratin associated protein 2-3
KRTAP4-12	Keratin associated protein 4-12
KRTAP1-4	Keratin associated protein 1-4
KRTAP4-8	Keratin associated protein 4-8
MREGP1	Melanoregulin pseudogene 1
ANKRD18DP	Ankyrin repeat domain 18D, pseudogene
SPATC1L	Spermatogenesis and centriole associated 1 like
RNU6-821P	RNA, U6 small nuclear 821, pseudogene
SINHCAF	SIN3-HDAC complex associated factor
DHX36	DEAH-box helicase 36
FLJ13224	Uncharacterized LOC79857
ARHGEF26	Rho guanine nucleotide exchange factor 26
DSEL-AS1	DSEL antisense RNA 1
DSEL	Dermatan sulfate epimerase like
AP2A2	Adaptor related protein complex 2 subunit alpha 2
GARRE1	Granule associated Rac and RHOG effector 1
CTDP1	CTD phosphatase subunit 1
LSM14A	LSM14A mRNA processing body assembly factor
DLG5-AS1	DLG5 antisense RNA 1
ARHGEF26-AS1	ARHGEF26 antisense RNA 1
RN7SL284P	RNA, 7SL, cytoplasmic 284, pseudogene
RNU6-1266P	RNA, U6 small nuclear 1266, pseudogene
KIR2DS4	Killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
MUC6	Mucin 6, oligomeric mucus/gel-forming
PRB1	Proline rich protein BstNI subfamily 1
RNU6-1025P	RNA, U6 small nuclear 1025, pseudogene
SBNO2	Strawberry notch homolog 2
ZNF965P	Zinc finger protein 965, pseudogene
GXYLT1P1	GXYLT1 pseudogene 1
CYP4F34P	Cytochrome P450 family 4 subfamily F member 34, pseudogene
CNN2P12	Calponin 2 pseudogene 12
SNX18P26	Sorting nexin 18 pseudogene 26
LINC00328-2P	Long intergenic non-protein coding RNA 328-2, pseudogene
ANKRD20A9P	Ankyrin repeat domain 20 family member A9, pseudogene
RNU6-55P	RNA, U6 small nuclear 55, pseudogene
CRIM1	Cysteine rich transmembrane BMP regulator 1
SUDS3P1	SDS3 homolog, SIN3A corepressor complex component pseudogene 1
RPL21P36	Ribosomal protein L21 pseudogene 36
PROP1	PROP paired-like homeobox 1
CRIM1-DT	CRIM1 divergent transcript
SEPTIN9-DT	SEPTIN9 divergent transcript
SEPTIN9	Septin 9
LILRP2	Leukocyte immunoglobulin-like receptor pseudogene 2
ABCB10P1	ABCB10 pseudogene 1
GOLGA8DP	Golgin A8 family member D, pseudogene
APOBEC3B-AS1	APOBEC3B antisense RNA 1
APOBEC3A	Apolipoprotein B mRNA editing enzyme catalytic subunit 3A
TUBGCP5	Tubulin gamma complex associated protein 5
SLC45A2	Solute carrier family 45 member 2
KRT18P40	Keratin 18 pseudogene 40
KRTAP5-6	Keratin associated protein 5-6
ZNF430	Zinc finger protein 430
KRTAP5-1	Keratin associated protein 5-1
RXFP3	Relaxin family peptide receptor 3
KRTAP5-4	Keratin associated protein 5-4
GOLGA6L1	Golgin A6 family like 1
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12
KRTAP5-5	Keratin associated protein 5-5
FAM99A	Family with sequence similarity 99 member A
KRTAP5-2	Keratin associated protein 5-2
LINC02708	Long intergenic non-protein coding RNA 2708
DECR2	2,4-dienoyl-CoA reductase 2
ELMO2P1	Engulfment and cell motility 2 pseudogene 1
KRTAP5-AS1	KRTAP5-1/KRTAP5-2 antisense RNA 1
ZNF85	Zinc finger protein 85
FAM99B	Family with sequence similarity 99 member B
DUSP8	Dual specificity phosphatase 8
KRTAP5-3	Keratin associated protein 5-3
IFITM10	Interferon induced transmembrane protein 10
LINC01659	Long intergenic non-protein coding RNA 1659
ZDHHC8P1	ZDHHC8 pseudogene 1
LINC02549	Long intergenic non-protein coding RNA 2549
ABCB11	ATP binding cassette subfamily B member 11
BNIP3P24	BCL2 interacting protein 3 pseudogene 24
CES5AP1	Carboxylesterase 5A pseudogene 1
ZNF66	Zinc finger protein 66
GNG5P1	G protein subunit gamma 5 pseudogene 1
CYFIP1	Cytoplasmic FMR1 interacting protein 1
G6PC2	Glucose-6-phosphatase catalytic subunit 2
RNU6-222P	RNA, U6 small nuclear 222, pseudogene
FAM230I	Family with sequence similarity 230 member I
LINC02557	Long intergenic non-protein coding RNA 2557
AADACL2	Arylacetamide deacetylase like 2
SPC25	SPC25 component of NDC80 kinetochore complex
KCNQ2-AS1	KCNQ2 antisense RNA 1
LINC02066	Long intergenic non-protein coding RNA 2066
AADACL2-AS1	AADACL2 antisense RNA 1
KCNQ2	Potassium voltage-gated channel subfamily Q member 2
GART	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
PTCHD3	Patched domain containing 3
SLC25A51P1	SLC25A51 pseudogene 1
ADH5P4	ADH5 pseudogene 4
RAB11FIP3	RAB11 family interacting protein 3
NOSTRIN	Nitric oxide synthase trafficking
ODAD2P1	Outer dynein arm docking complex subunit 2 pseudogene 1
FAM210CP	Family with sequence similarity 210 member C, pseudogene
TRIAP1P1	TP53 regulated inhibitor of apoptosis 1 pseudogene 1
SMN2	Survival of motor neuron 2, centromeric
RPS5P3	RPS5 pseudogene 3
DNAJC28	DnaJ heat shock protein family (Hsp40) member C28
IFNGR2	Interferon gamma receptor 2
SKA1	Spindle and kinetochore associated complex subunit 1
OR2AS2P	Olfactory receptor family 2 subfamily AS member 2 pseudogene
OR2T6	Olfactory receptor family 2 subfamily T member 6
PAXBP1	PAX3 and PAX7 binding protein 1
LINC00235	Long intergenic non-protein coding RNA 235
OR2T2	Olfactory receptor family 2 subfamily T member 2
CAPN15	Calpain 15
MAPK4	Mitogen-activated protein kinase 4
OR2T4	Olfactory receptor family 2 subfamily T member 4
KCNIP4	Potassium voltage-gated channel interacting protein 4
RNA5SP458	RNA, 5S ribosomal pseudogene 458
C21orf62	Chromosome 21 open reading frame 62
OR2T7	Olfactory receptor family 2 subfamily T member 7
OR2T1	Olfactory receptor family 2 subfamily T member 1
C21orf62-AS1	C21orf62 antisense RNA 1
OR2T3	Olfactory receptor family 2 subfamily T member 3
LRRC56	Leucine rich repeat containing 56
OR2T5	Olfactory receptor family 2 subfamily T member 5
TMEM50B	Transmembrane protein 50B
DLGAP2	DLG associated protein 2
CDH12P2	Cadherin 12 pseudogene 2
PMCHL2	Pro-melanin concentrating hormone like 2 (pseudogene)
ERICH1	Glutamate rich 1
GTF2H2	General transcription factor IIH subunit 2
PHRF1	PHD and ring finger domains 1
FRG1-DT	FRG1 divergent transcript
LINC01596	Long intergenic non-protein coding RNA 1596
RNU1-51P	RNA, U1 small nuclear 51, pseudogene
MAFIP	MAFF interacting protein (pseudogene)
GOLGA6L22	Golgin A6 family like 22
SNTB2	Syntrophin beta 2
RPS6P22	Ribosomal protein S6 pseudogene 22
LRIG3-DT	LRIG3 divergent transcript
DLGAP2-AS1	DLGAP2 antisense RNA 1
DLGAP2	DLG associated protein 2
GOLGA8EP	Golgin A8 family member E, pseudogene
UTP4	UTP4 small subunit processome component
HERC2P2	Hect domain and RLD 2 pseudogene 2
CNTNAP2	Contactin associated protein 2
MAD2L1-DT	MAD2L1 divergent transcript
HERC2P7	Hect domain and RLD 2 pseudogene 7
SPATA31E3P	SPATA31 subfamily E member 3, pseudogene
GOLGA8IP	Golgin A8 family member I, pseudogene
U3	Small nucleolar RNA U3
OR8U9	Olfactory receptor family 8 subfamily U member 9
OR8J2	Olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)
FAM8A2P	Family with sequence similarity 8 member A2, pseudogene
OR8U8	Olfactory receptor family 8 subfamily U member 8
OR8L1P	Olfactory receptor family 8 subfamily L member 1 pseudogene
NDUFA6-DT	NDUFA6 divergent transcript
OR5T3	Olfactory receptor family 5 subfamily T member 3
OR5T2	Olfactory receptor family 5 subfamily T member 2
OR8K2P	Olfactory receptor family 8 subfamily K member 2 pseudogene
OR8I1P	Olfactory receptor family 8 subfamily I member 1 pseudogene
OR8K3	Olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)
OR8H1	Olfactory receptor family 8 subfamily H member 1
RPL4P5	Ribosomal protein L4 pseudogene 5
ICE2P1	Interactor of little elongation complex ELL subunit 2 pseudogene 1
LINC01060	Long intergenic non-protein coding RNA 1060
OR5T1	Olfactory receptor family 5 subfamily T member 1
SMDT1	Single-pass membrane protein with aspartate rich tail 1
RPL5P29	Ribosomal protein L5 pseudogene 29
OR8K1	Olfactory receptor family 8 subfamily K member 1
OR8J1	Olfactory receptor family 8 subfamily J member 1
RPS17	Ribosomal protein S17
NKD2	NKD inhibitor of WNT signaling pathway 2
OLA1P1	OLA1 pseudogene 1
NDUFA6	NADH:ubiquinone oxidoreductase subunit A6
CYP2D8P	Ccytochrome P450 family 2 subfamily D member 8, pseudogene
CYP2D6	Cytochrome P450 family 2 subfamily D member 6
SDHAP2	Succinate dehydrogenase complex flavoprotein subunit A pseudogene 2
GOLGA8F	Golgin A8 family member F
MUC20-OT1	MUC20 overlapping transcript
LINC01194	Long intergenic non-protein coding RNA 1194
CYP2D7	Cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)
LMNTD2	Lamin tail domain containing 2
GOLGA6L10	Golgin A6 family like 10
MEGF11	Multiple EGF like domains 11
DNM1P38	Dynamin 1 pseudogene 38
SLC12A7	Solute carrier family 12 member 7
ABR	ABR activator of RhoGEF and GTPase
HERC2P11	Hect domain and RLD 2 pseudogene 11
TNFRSF14	TNF receptor superfamily member 14
CPEB1	Cytoplasmic polyadenylation element binding protein 1
GOLGA8G	Golgin A8 family member G
MIR210HG	MIR210 host gene
RNH1	Ribonuclease/angiogenin inhibitor 1
DIS3L-AS1	DIS3L antisense RNA 1
SERF1B	Small EDRK-rich factor 1B
CLK2	CDC like kinase 2
NAIP	NLR family apoptosis inhibitory protein
ABCB10P4	ABCB10 pseudogene 4
HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2
TCF20	Transcription factor 20
LILRA4	Leukocyte immunoglobulin like receptor A4
TTC34	Tetratricopeptide repeat domain 34
MUC20	Mucin 20, cell surface associated
MMEL1	Membrane metalloendopeptidase like 1
LAIR1	Leukocyte associated immunoglobulin like receptor 1
PKLR	Pyruvate kinase L/R
MUC4	Mucin 4, cell surface associated
DRD4	Dopamine receptor D4
DEAF1	DEAF1 transcription factor
MCCC2	Methylcrotonyl-CoA carboxylase subunit 2
IRF7	Interferon regulatory factor 7
MTX1P1	Metaxin 1 pseudogene 1
SCAMP3	Secretory carrier membrane protein 3
CSPG4P10	Chondroitin sulfate proteoglycan 4 pseudogene 10
PSMB1	Proteasome 20S subunit beta 1
TIMM22	Translocase of inner mitochondrial membrane 22
FAM120B	Family with sequence similarity 120B
GOLGA6L9	Golgin A6 family like 9
NXN	Nucleoredoxin
BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB
GOLGA6L17P	Golgin A6 family like 17, pseudogene
GOLGA2P10	GOLGA2 pseudogene 10
GBA	Glucosylceramidase beta
MMEL1-AS1	MMEL1 antisense RNA 1
HRAS	HRas proto-oncogene, GTPase
PANK4	Pantothenate kinase 4 (inactive)
GOLGA6L10	Golgin A6 family like 10
LINC00824	Long intergenic non-protein coding RNA 824
UBE2Q2P6	Ubiquitin conjugating enzyme E2 Q2 pseudogene 6
DLL1	Delta like canonical Notch ligand 1
ADAMTS7P1	ADAMTS7 pseudogene 1
LINC01624	Long intergenic non-protein coding RNA 1624
UBE2Q2P2	Ubiquitin conjugating enzyme E2 Q2 pseudogene 2
LMNTD2-AS1	LMNTD2 antisense RNA 1
RASSF7	Ras association domain family member 7
PLCH2	Phospholipase C eta 2
CDHR5	Cadherin related family member 5
SMN1	Survival of motor neuron 1, telomeric
HCN3	Hyperpolarization activated cyclic nucleotide gated potassium channel 3
UGT2A3	UDP glucuronosyltransferase family 2 member A3
HES5	Hes family bHLH transcription factor 5
CNOT3	CCR4-NOT transcription complex subunit 3
FAM189B	Family with sequence similarity 189 member B
TNFRSF14-AS1	TNFRSF14 antisense RNA 1
UGT2B27P	UDP glucuronosyltransferase family 2 member B27, pseudogene
UGT2B29P	UDP glucuronosyltransferase family 2 member B29, pseudogene
LINC02197	Long intergenic non-protein coding RNA 2197
UGT2B10	UDP glucuronosyltransferase family 2 member B10
DENND11	DENN domain containing 11
PRXL2B	Peroxiredoxin like 2B
TARM1	T cell-interacting, activating receptor on myeloid cells 1
VSTM1	V-set and transmembrane domain containing 1
SERF1A	Small EDRK-rich factor 1A
UGT2B15	UDP glucuronosyltransferase family 2 member B15
LENG1	Leukocyte receptor cluster member 1
WEE2-AS1	WEE2 antisense RNA 1
LILRA5	Leukocyte immunoglobulin like receptor A5
NLRP7	NLR family pyrin domain containing 7
MT2P1	Metallothionein 2 pseudogene 1
TMPRSS11E	Transmembrane serine protease 11E
SSBP1	Single stranded DNA binding protein 1
LILRA2	Leukocyte immunoglobulin like receptor A2
CTSO	Cathepsin O
SCT	Secretin
YTHDC1	YTH domain containing 1
PTDSS2	Phosphatidylserine synthase 2
NLRP2	NLR family pyrin domain containing 2
TDO2	Tryptophan 2,3-dioxygenase
OR2W1	Olfactory receptor family 2 subfamily W member 1
NOP56P1	NOP56 ribonucleoprotein pseudogene 1
OR14J1	Olfactory receptor family 14 subfamily J member 1
GP6	Glycoprotein VI platelet
TRIM27	Tripartite motif containing 27
AGK	Acylglycerol kinase
DEFB104B	Defensin beta 104B
WEE2	WEE2 oocyte meiosis inhibiting kinase
DEFB105B	Defensin beta 105B
LILRB1	Leukocyte immunoglobulin like receptor B1
MBOAT7	Membrane bound O-acyltransferase domain containing 7
PRR23D1	Proline rich 23 domain containing 1
LILRA3	Leukocyte immunoglobulin like receptor A3
DEFB4B	Defensin beta 4B
TMEM179	Transmembrane protein 179
FAM90A7P	Family with sequence similarity 90 member A7, pseudogene
LILRB2	Leukocyte immunoglobulin like receptor B2
RPS9	Ribosomal protein S9
DEFB103B	Defensin beta 103B
NDUFA3	NADH:ubiquinone oxidoreductase subunit A3
HCG14	HLA complex group 14
DEFB108C	Defensin beta 108C
RPL13P	Ribosomal protein L13 pseudogene
FAM90A22P	Family with sequence similarity 90 member A22, pseudogene
ZNF311	Zinc finger protein 311
OSCAR	Osteoclast associated Ig-like receptor
OR7E157P	Olfactory receptor family 7 subfamily E member 157 pseudogene
HSPD1P3	Heat shock protein family D (Hsp60) member 1 pseudogene 3
FAM90A21P	Family with sequence similarity 90 member A21, pseudogene
ZNF705G	Zinc finger protein 705G
C14orf180	Chromosome 14 open reading frame 180
RDH13	Retinol dehydrogenase 13
FAM20C	FAM20C golgi associated secretory pathway kinase
DEFB107B	Defensin beta 107B
METRNL	Meteorin like, glial cell differentiation regulator
FAM90A6P	Family with sequence similarity 90 member A6, pseudogene
LINC01623	Long intergenic non-protein coding RNA 1623
LINC01015	Long intergenic non-protein coding RNA 1015
SPAG11B	Sperm associated antigen 11B
OR2B3	Olfactory receptor family 2 subfamily B member 3
HCG22	HLA complex group 22 (gene/pseudogene)
TBCD	Tubulin folding cofactor D
LST1	Leukocyte specific transcript 1
DEFB106B	Defensin beta 106B
FAM66B	Family with sequence similarity 66 member B
TSEN34	TRNA splicing endonuclease subunit 34
FAM90A23P	Family with sequence similarity 90 member A23, pseudogene
POMZP3	POM121 and ZP3 fusion
TFPT	TCF3 fusion partner
TOMM40P4	TOMM40 pseudogene 4
CDRT15P3	CDRT15 pseudogene 3
PRAMEF5	PRAME family member 5
UPK3B	Uroplakin 3B
PRAMEF22	PRAME family member 22
PRAMEF18	PRAME family member 18
MYL6P5	MYL6 pseudogene 5
SPDYE16	Speedy/RINGO cell cycle regulator family member E16
B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1
PRAMEF8	PRAME family member 8
DTX2	Deltex E3 ubiquitin ligase 2
HNRNPCL2	Heterogeneous nuclear ribonucleoprotein C like 2
PRAMEF25	PRAME family member 25
HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C like 4
PRAMEF33	PRAME family member 33
PRAMEF9	PRAME family member 9
OR2J3	Olfactory receptor family 2 subfamily J member 3
HLA-H	Major histocompatibility complex, class I, H (pseudogene)
MICB	MHC class I polypeptide-related sequence B
OR2U2P	Olfactory receptor family 2 subfamily U member 2 pseudogene
TRIM10	Tripartite motif containing 10
ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog
FAM138D	Family with sequence similarity 138 member D
RNA5-8SN4	RNA, 5.8S ribosomal N4
FAM189A1	Family with sequence similarity 189 member A1
IQSEC3	IQ motif and Sec7 domain ArfGEF 3
KIR3DX1	Killer cell immunoglobulin like receptor, three Ig domains X1 (pseudogene)
LINC02403	Long intergenic non-protein coding RNA 2403
CEACAM4	CEA cell adhesion molecule 4
MICG	MHC class I polypeptide-related sequence G (pseudogene)
GIHCG	GIHCG inhibitor of miR-200b/200a/429 expression
RNF39	Ring finger protein 39
RN7SKP65	RN7SK pseudogene 65
LILRA6	Leukocyte immunoglobulin like receptor A6
CEACAMP3	CEA cell adhesion molecule pseudogene 3
ZNF90P2	Zinc finger protein 90 pseudogene 2
APBA2	Amyloid beta precursor protein binding family A member 2
DDX11L8	DEAD/H-box helicase 11 like 8 (pseudogene)
MUC21	Mucin 21, cell surface associated
KIF26B	Kinesin family member 26B
PLEKHA3P1	Pleckstrin homology domain containing A3 pseudogene 1
DNAJC19P2	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 2
CEACAM21	CEA cell adhesion molecule 21
HCG15	HLA complex group 15
TRIM31-AS1	TRIM31 antisense RNA 1
TNF	Tumor necrosis factor
WASH8P	WAS protein family homolog 8, pseudogene
OR11A1	Olfactory receptor family 11 subfamily A member 1
MOG	Myelin oligodendrocyte glycoprotein
BTG3-AS1	BTG3 antisense RNA 1
DNAJC19P3	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 3
BTG3	BTG anti-proliferation factor 3
LINC01480	Long intergenic non-protein coding RNA 1480
CEACAM7	CEA cell adhesion molecule 7
TBX22	T-box transcription factor 22
PTPRN2	Protein tyrosine phosphatase receptor type N2
WHAMMP2	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2
ABCB10P3	ABCB10 pseudogene 3
C22orf15	Chromosome 22 open reading frame 15
CABIN1	Calcineurin binding protein 1
CXADRP2	CXADR pseudogene 2
LINC02203	Long intergenic non-protein coding RNA 2203
MAMDC2-AS1	MAMDC2 antisense RNA 1
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
MAMDC2	MAM domain containing 2
LONRF2P4	LONRF2 pseudogene 4
PRH2	Proline rich protein HaeIII subfamily 2
HERC2P1	Hect domain and RLD 2 pseudogene 1
OCA2	OCA2 melanosomal transmembrane protein
OR4M2B	Olfactory receptor family 4 subfamily M member 2B
GRAMD4P6	GRAM domain containing 4 pseudogene 6
NBEAP4	Neurobeachin pseudogene 4
NF1P9	Neurofibromin 1 pseudogene 9
U2	U2 spliceosomal RNA
TAS2R30	Taste 2 receptor member 30
TAS2R19	Taste 2 receptor member 19
TTYH1	Tweety family member 1
POTEB3	POTE ankyrin domain family member B3
TAS2R8	Taste 2 receptor member 8
TAS2R7	Taste 2 receptor member 7
TAS2R50	Taste 2 receptor member 50
TAS2R43	Taste 2 receptor member 43
TAS2R14	Taste 2 receptor member 14
TAS2R9	Taste 2 receptor member 9
TAS2R45	Taste 2 receptor member 45
TAS2R31	Taste 2 receptor member 31
TAS2R13	Taste 2 receptor member 13
TAS2R46	Taste 2 receptor member 46
TAS2R20	Taste 2 receptor member 20
TAS2R15P	Taste 2 receptor member 15 pseudogene
PRR4	Proline rich 4
ZFP57	ZFP57 zinc finger protein
OR2H5P	Olfactory receptor family 2 subfamily H member 5 pseudogene
OR5V1	Olfactory receptor family 5 subfamily V member 1
RPL5P32	Ribosomal protein L5 pseudogene 32
